form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,paradigm_tag,overabundance_tag,source,page,language_id
tedim204,mu:³,1.pl.excl.2.pl.fut.neg,koŋ¹-mu³ lou³ diːŋ¹ hiː³,koŋ¹-Σ lou³ diːŋ¹ hiː³,koŋ¹+Σ+lou³+diːŋ¹+hiː³,k o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim205,mu:³,1.pl.excl.2.pl.fut.neg,koŋ¹-mu³ lou³ diːŋ¹ uʔ³ hiː³,koŋ¹-Σ lou³ diːŋ¹ uʔ³ hiː³,koŋ¹+Σ+lou³+diːŋ¹+uʔ³+hiː³,k o ŋ ⁵ Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹ h ii ¹,k o ŋ ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim206,mu:³,1.sg.3.sg.fut.neg,mu³ kei¹ niŋ¹,Σ kei¹ niŋ¹,Σ+kei¹+n+iŋ¹,Σ k ei ⁵ n i ŋ ⁵,Σ + k ei ⁵ + n + i ŋ ⁵,informal,,,Zhou2025Tedim,nopage,tedim
tedim207,mu:³,1.sg.3.sg.fut.neg,mu³ lou³ diːŋ¹,Σ lou³ diːŋ¹,Σ+lou³+diːŋ¹,Σ l ou ¹ d ii ŋ ⁵,Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim208,mu:³,1.sg.3.sg.fut.neg,ka¹ mu³ kei¹ diːŋ¹ hiː³,ka¹ Σ kei¹ diːŋ¹ hiː³,ka¹+Σ+kei¹+diːŋ¹+hiː³,k a ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,k a ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim209,mu:³,1.sg.3.sg.fut.neg,ka¹ mu³ lou³ diːŋ¹ hiː³,ka¹ Σ lou³ diːŋ¹ hiː³,ka¹+Σ+lou³+diːŋ¹+hiː³,k a ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k a ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim210,mu:³,1.pl.excl.3.sg.fut.neg,mu³ kei¹ nuːŋ³,Σ kei¹ nuːŋ³,Σ+kei¹+nuːŋ³,Σ k ei ⁵ n uu ŋ ¹,Σ + k ei ⁵ + n uu ŋ ¹,informal,,,Zhou2025Tedim,nopage,tedim
tedim211,mu:³,1.pl.excl.3.sg.fut.neg,mu³ lou³ diːŋ¹,Σ lou³ diːŋ¹,Σ+lou³+diːŋ¹,Σ l ou ¹ d ii ŋ ⁵,Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim212,mu:³,1.pl.excl.3.sg.fut.neg,mu³ lou³ diːŋ¹ uʔ³,Σ lou³ diːŋ¹ uʔ³,Σ+lou³+diːŋ¹+uʔ³,Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹,Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim213,mu:³,1.pl.incl.3.sg.fut.neg,mu³ lou³ diːŋ¹,Σ lou³ diːŋ¹,Σ+lou³+diːŋ¹,Σ l ou ¹ d ii ŋ ⁵,Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim214,mu:³,1.pl.incl.3.sg.fut.neg,mu³ lou³ diːŋ¹ uʔ³,Σ lou³ diːŋ¹ uʔ³,Σ+lou³+diːŋ¹+uʔ³,Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹,Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim215,mu:³,1.pl.incl.3.sg.fut.neg,mu³ kei¹ niː³,Σ kei¹ niː³,Σ+kei¹+niː³,Σ k ei ⁵ n ii ¹,Σ + k ei ⁵ + n ii ¹,informal,hort,,Zhou2025Tedim,nopage,tedim
tedim216,mu:³,1.pl.excl.3.sg.fut.neg,ka¹ mu³ kei¹ diːŋ¹ hiː³,ka¹ Σ kei¹ diːŋ¹ hiː³,ka¹+Σ+kei¹+diːŋ¹+hiː³,k a ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,k a ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,optional_plural,Zhou2025Tedim,nopage,tedim
tedim217,mu:³,1.pl.excl.3.sg.fut.neg,ka¹ mu³ kei¹ diːŋ¹ uʔ³ hiː³,ka¹ Σ kei¹ diːŋ¹ uʔ³ hiː³,ka¹+Σ+kei¹+diːŋ¹+uʔ³+hiː³,k a ⁵ Σ k ei ⁵ d ii ŋ ⁵ u ʔ ¹ h ii ¹,k a ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + u ʔ ¹ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim218,mu:³,1.pl.excl.3.sg.fut.neg,ka¹ mu³ lou³ diːŋ¹ hiː³,ka¹ Σ lou³ diːŋ¹ hiː³,ka¹+Σ+lou³+diːŋ¹+hiː³,k a ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,k a ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim219,mu:³,1.pl.excl.3.sg.fut.neg,ka¹ mu³ lou³ diːŋ¹ uʔ³ hiː³,ka¹ Σ lou³ diːŋ¹ uʔ³ hiː³,ka¹+Σ+lou³+diːŋ¹+uʔ³+hiː³,k a ⁵ Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹ h ii ¹,k a ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim220,mu:³,1.pl.incl.3.sg.fut.neg,i¹ mu³ kei¹ diːŋ¹ hiː³,i¹ Σ kei¹ diːŋ¹ hiː³,i¹+Σ+kei¹+diːŋ¹+hiː³,i ⁵ Σ k ei ⁵ d ii ŋ ⁵ h ii ¹,i ⁵ + Σ + k ei ⁵ + d ii ŋ ⁵ + h ii ¹,formal,,,Zhou2025Tedim,nopage,tedim
tedim221,mu:³,1.pl.incl.3.sg.fut.neg,i¹ mu³ lou³ diːŋ¹ hiː³,i¹ Σ lou³ diːŋ¹ hiː³,i¹+Σ+lou³+diːŋ¹+hiː³,i ⁵ Σ l ou ¹ d ii ŋ ⁵ h ii ¹,i ⁵ + Σ + l ou ¹ + d ii ŋ ⁵ + h ii ¹,formal,lou_neg,,Zhou2025Tedim,nopage,tedim
tedim222,mu:³,1.pl.excl.3.pl.fut.neg,mu³ kei¹ nuːŋ³,Σ kei¹ nuːŋ³,Σ+kei¹+nuːŋ³,Σ k ei ⁵ n uu ŋ ¹,Σ + k ei ⁵ + n uu ŋ ¹,informal,,,Zhou2025Tedim,nopage,tedim
tedim223,mu:³,1.pl.excl.3.pl.fut.neg,mu³ lou³ diːŋ¹,Σ lou³ diːŋ¹,Σ+lou³+diːŋ¹,Σ l ou ¹ d ii ŋ ⁵,Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim224,mu:³,1.pl.excl.3.pl.fut.neg,mu³ lou³ diːŋ¹ uʔ³,Σ lou³ diːŋ¹ uʔ³,Σ+lou³+diːŋ¹+uʔ³,Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹,Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim225,mu:³,1.pl.incl.3.pl.fut.neg,mu³ lou³ diːŋ¹,Σ lou³ diːŋ¹,Σ+lou³+diːŋ¹,Σ l ou ¹ d ii ŋ ⁵,Σ + l ou ¹ + d ii ŋ ⁵,informal,unspec_par; lou_neg,optional_plural,Zhou2025Tedim,nopage,tedim
tedim226,mu:³,1.pl.incl.3.pl.fut.neg,mu³ lou³ diːŋ¹ uʔ³,Σ lou³ diːŋ¹ uʔ³,Σ+lou³+diːŋ¹+uʔ³,Σ l ou ¹ d ii ŋ ⁵ u ʔ ¹,Σ + l ou ¹ + d ii ŋ ⁵ + u ʔ ¹,informal,unspec_par; lou_neg,,Zhou2025Tedim,nopage,tedim
tedim227,mu:³,1.pl.incl.3.pl.fut.neg,mu³ kei¹ niː³,Σ kei¹ niː³,Σ+kei¹+niː³,Σ k ei ⁵ n ii ¹,Σ + k ei ⁵ + n ii ¹,informal,hort,,Zhou2025Tedim,nopage,tedim
